,Leftmost,,Rightmost,,Lower-Corner,
Arc length (m),X,Z,X,Z,X,Z
0,0,-15,0,-15,0,-15
1,0.097477013,-15.99527242,0.378107848,-15.92580818,0.184729611,-15.98280439
2,0.195796924,-16.99046123,0.758809321,-16.85055215,0.372291258,-16.96507153
3,0.295353511,-17.98552639,1.143198985,-17.77376844,0.564470722,-17.94644495
4,0.396346859,-18.98044605,1.531773574,-18.69523044,0.762502596,-18.92665347
5,0.498893856,-19.97520607,1.924791676,-19.6148053,0.967345104,-19.90546067
6,0.603076287,-20.96979544,2.32241764,-20.53239642,1.179836503,-20.88263518
7,0.708961934,-21.96420423,2.724779397,-21.44792009,1.400788223,-21.85793082
8,0.816613953,-22.95842264,3.13199183,-22.36129588,1.631044883,-22.83107097
9,0.926095123,-23.95244059,3.54416629,-23.27244254,1.871527908,-23.80173386
10,1.037469852,-24.94624746,3.961414522,-24.18127622,2.123272312,-24.76953648
11,1.150805201,-25.93983195,4.383850318,-25.0877096,2.38746228,-25.73401534
12,1.266171482,-26.93318197,4.811590256,-25.99165138,2.665469031,-26.69460198
13,1.383642685,-27.92628457,5.244754049,-26.89300596,2.958893016,-27.65059125
14,1.503296828,-28.91912581,5.683464744,-27.79167308,3.269611441,-28.60109944
15,1.625216302,-29.91169073,6.127848862,-28.68754761,3.599830807,-29.54500919
16,1.749488223,-30.90396315,6.578036498,-29.5805192,3.952142508,-30.48089678
17,1.876204813,-31.89592565,7.034161417,-30.470472,4.329576994,-31.40693728
18,2.005463804,-32.88755936,7.496361137,-31.35728432,4.735648507,-32.32078213
19,2.137368895,-33.87884386,7.964777013,-32.24082832,5.174377535,-33.21940444
20,2.272030246,-34.86975699,8.439554308,-33.12096963,5.650271993,-34.09890907
21,2.409565023,-35.86027469,8.920842264,-33.99756696,6.168241217,-34.95430989
22,2.550098011,-36.85037076,9.408794163,-34.8704717,6.733410525,-35.77928572
23,2.693762288,-37.84001663,9.903567379,-35.7395275,7.350801221,-36.56594256
24,2.840699973,-38.82918107,10.40532342,-36.6045698,8.024846377,-37.30463211
25,2.991063071,-39.81782991,10.91422796,-37.46542535,8.758732908,-37.98390275
26,3.145014411,-40.80592564,11.43045085,-38.32191167,9.553601564,-38.59068183
27,3.302728701,-41.79342705,11.95416612,-39.17383656,10.40769953,-39.11079028
28,3.464393718,-42.78028867,12.48555196,-40.02099746,11.31565403,-39.52985352
29,3.63021165,-43.76646029,13.02479067,-40.8631809,12.26809038,-39.83458255
30,3.800400622,-44.75188628,13.57206857,-41.70016181,13.25181214,-40.01426521
31,3.975196424,-45.73650485,14.12757594,-42.53170288,14.25066083,-40.06217633
32,4.154854494,-46.72024714,14.69150682,-43.35755382,15.24698599,-39.9765586
33,4.33965219,-47.7030362,15.26405889,-44.17745063,16.22345172,-39.76089883
34,4.529891407,-48.68478576,15.84543321,-44.99111483,17.16478168,-39.42341869
35,4.725901613,-49.66539873,16.43583391,-45.79825261,18.05906965,-38.97593171
36,4.92804338,-50.64476542,17.03546792,-46.598554,18.89844373,-38.43238084
37,5.136712522,-51.62276145,17.64454448,-47.391692,19.6790828,-37.80740087
38,5.352344968,-52.5992451,18.26327472,-48.17732164,20.40075036,-37.11516226
39,5.575422524,-53.57405416,18.89187103,-48.95507906,21.06608286,-36.36861548
40,5.806479748,-54.547002,19.53054644,-49.72458058,21.67985697,-35.57913341
41,6.046112154,-55.51787269,20.17951378,-50.48542167,22.24840238,-34.75648043
42,6.294986072,-56.48641489,20.83898487,-51.23717603,22.77926631,-33.90902158
43,6.553850511,-57.45233417,21.5091694,-51.97939457,23.28119697,-33.04411126
44,6.823551442,-58.41528324,22.19027384,-52.71160451,23.76450535,-32.16865794
45,7.105048962,-59.37484945,22.88250005,-53.43330839,24.24188364,-31.28995622
46,7.399437803,-60.33053875,23.58604383,-54.14398325,24.72978462,-30.41705269
47,7.707971621,-61.281755,24.30109324,-54.84307979,25.25042711,-29.56327738
48,8.032091324,-62.22777327,25.0278267,-55.53002167,25.79425786,-28.72408121
49,8.373457378,-63.16770521,25.76641094,-56.2042049,26.35915577,-27.89891844
50,8.733985418,-64.10045439,26.51699873,-56.86499741,26.95012526,-27.09222183
51,9.11588352,-65.02465894,27.27972634,-57.51173881,27.57954982,-26.31515679
52,9.52168797,-65.93861826,28.05471086,-58.14374035,28.2674633,-25.58936465
53,9.954292158,-66.84020089,28.84204722,-58.76028518,28.9980303,-24.90652345
54,10.41696029,-67.72673039,29.64180508,-59.36062891,29.76516284,-24.26503392
55,10.91331381,-68.59484806,30.45402546,-59.94400053,30.5707272,-23.672524
56,11.44727432,-69.44035385,31.27871723,-60.50960381,31.42268475,-23.14891079
57,12.02294258,-70.25803272,32.11585348,-61.05661908,32.33131405,-22.73130887
58,12.64439105,-71.04148234,32.96536776,-61.58420561,33.27500732,-22.40048825
59,13.31534943,-71.78297087,33.82715029,-62.09150453,34.24265556,-22.14818564
60,14.03877162,-72.47336906,34.70104425,-62.57764235,35.22836336,-21.97972186
61,14.81629369,-73.10221542,35.5868421,-63.04173514,36.22631809,-21.91579917
62,15.64762529,-73.65798082,36.4842822,-63.48289338,37.22327293,-21.99377916
63,16.52996067,-74.12858775,37.39304564,-63.90022747,38.20652761,-22.17601574
64,17.45753747,-74.50220147,38.31275355,-64.29285388,39.17059878,-22.44165934
65,18.42149176,-74.76824195,39.242965,-64.65990195,40.1097232,-22.78523555
66,19.41013399,-74.9184805,40.18317541,-65.00052124,41.01277827,-23.21475864
67,20.40969021,-74.94801519,41.13281594,-65.31388928,41.85808186,-23.74904733
68,21.40543136,-74.85590361,42.09125359,-65.5992198,42.65627734,-24.3514475
69,22.3829939,-74.64529328,43.05779242,-65.85577106,43.41539665,-25.00239994
70,23.32963165,-74.323016,44.03167576,-66.08285423,44.13719856,-25.69449984
71,24.23516288,-73.89875257,45.01208953,-66.2798417,44.81535734,-26.42941471
72,25.09247649,-73.38397069,45.99816672,-66.44617491,45.43368825,-27.21533603
73,25.89758907,-72.7908589,46.98899292,-66.58137178,46.01145603,-28.03153994
74,26.64934953,-72.13143109,47.9836129,-66.68503319,46.5599376,-28.86770456
75,27.34893966,-71.41689381,48.98103808,-66.75684864,47.08265391,-29.7202125
76,27.99931983,-70.65729089,49.98025485,-66.79660072,47.57549271,-30.59033364
77,28.6047381,-69.86138837,50.98023339,-66.80416823,48.0262001,-31.48300991
78,29.17038311,-69.0367436,51.97993696,-66.77952805,48.45131638,-32.38815244
79,29.70223247,-68.18990788,52.97833132,-66.72275542,48.8596167,-33.30100317
80,30.20713843,-67.326736,53.97439409,-66.63402286,49.25339025,-34.22021299
