solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
769_6_102,769,6,102,1536.0,1305.3,,,,,-inf,False,timeout,
545_15_63,545,15,63,7200.0,6791.25,36.55,3.85,31.56,34.12,-453.11,True,,28.2
337_10_62,337,10,62,6880.0,6711.5,33.6,3.65,41.27,26.73,53.1,True,,22.6
312_7_26,312,7,26,4991.0,4881.8,,,,,-inf,False,timeout,
670_19_126,670,19,126,6745.0,6108.5,,,,,-inf,False,timeout,
489_3_11,489,3,11,1608.0,1534.65,,,,,-inf,False,timeout,
752_18_81,752,18,81,4914.0,4237.2,,,,,-inf,False,timeout,
726_5_97,726,5,97,1495.0,1313.5,,,,,-inf,False,timeout,
470_7_51,470,7,51,3885.0,3720.5,,,,,-inf,False,timeout,
478_14_90,478,14,90,7658.0,7323.4,49.75,5.0,12.63,41.38,-inf,False,seabed clearance too low,23.3
487_15_194,487,15,194,8070.0,7704.75,,,,,-inf,False,timeout,
387_18_34,387,18,34,11484.0,11135.7,,,,,-inf,False,timeout,
616_17_165,616,17,165,6953.0,6429.4,,,,,-inf,False,timeout,
340_12_99,340,12,99,8220.0,8016.0,50.87,6.27,16.09,34.38,-168.67,True,,24.6
407_17_154,407,17,154,10506.0,10160.05,82.16,2.3,0.54,51.5,-inf,False,"seabed clearance too low, bend radius too small",30.0
476_7_56,476,7,56,3843.0,3676.4,,,,,-inf,False,timeout,
506_6_190,506,6,190,3114.0,2962.2,,,,,-inf,False,timeout,
744_9_70,744,9,70,2529.0,2194.2,,,,,-inf,False,timeout,
309_16_155,309,16,155,11456.0,11208.8,79.55,1.7,0.54,45.14,-inf,False,"seabed clearance too low, bend radius too small",24.7
672_6_114,672,6,114,2118.0,1916.4,,,,,-inf,False,timeout,
390_19_13,390,19,13,12065.0,11694.5,,,,,-inf,False,timeout,
740_6_185,740,6,185,1710.0,1488.0,,,,,-inf,False,timeout,
620_9_91,620,9,91,3645.0,3366.0,,,,,-inf,False,timeout,
515_3_69,515,3,69,1530.0,1452.75,,,,,-inf,False,timeout,
531_17_96,531,17,96,8398.0,7946.65,55.31,5.1,2.06,44.45,-inf,False,seabed clearance too low,27.1
345_14_168,345,14,168,9520.0,9278.5,,,,,-inf,False,timeout,
368_19_15,368,19,15,12483.0,12133.4,,,,,-inf,False,timeout,
564_15_118,564,15,118,6915.0,6492.0,,,,,-inf,False,timeout,
777_7_59,777,7,59,1736.0,1464.05,,,,,-inf,False,timeout,
509_20_107,509,20,107,10320.0,9811.0,59.36,8.34,0.6,36.37,-inf,False,seabed clearance too low,25.2
