solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
588_14_66,588,14,66,6118.0,5706.4,36.73,4.11,32.91,29.53,-353.94,True,,8.6
546_9_97,546,9,97,4311.0,4065.3,55.93,4.21,3.44,60.91,-inf,False,seabed clearance too low,8.4
537_16_125,537,16,125,7808.0,7378.4,67.48,7.91,0.7,44.75,-inf,False,seabed clearance too low,9.5
423_1_51,423,1,51,602.0,580.85,,,,,-inf,False,timeout,
652_13_13,652,13,13,4849.0,4425.2,,,,,-inf,False,timeout,
540_18_198,540,18,198,8730.0,8244.0,,,,,-inf,False,timeout,
541_19_133,541,19,133,9196.0,8682.05,70.77,4.57,0.61,39.01,-inf,False,seabed clearance too low,10.7
501_18_13,501,18,13,9432.0,8981.1,,,,,-inf,False,timeout,
338_4_70,338,4,70,2748.0,2680.4,45.7,3.46,0.54,65.13,-inf,False,"seabed clearance too low, bend radius too small",24.7
402_1_131,402,1,131,623.0,602.9,,,,,-inf,False,timeout,
684_15_102,684,15,102,5115.0,4602.0,,,,,-inf,False,timeout,
434_8_148,434,8,148,4728.0,4554.4,,,,,-inf,False,timeout,
689_10_13,689,10,13,3360.0,3015.5,,,,,-inf,False,timeout,
390_19_43,390,19,43,12065.0,11694.5,,,,,-inf,False,timeout,
582_2_170,582,2,170,886.0,827.8,,,,,-inf,False,timeout,
591_4_184,591,4,184,1736.0,1617.8,,,,,-inf,False,timeout,
373_11_31,373,11,31,7172.0,6966.85,39.58,3.15,70.77,0.37,-inf,False,"surface clearance too low, bend radius too small",11.9
390_6_14,390,6,14,3810.0,3693.0,47.31,3.07,0.52,99.86,-inf,False,"seabed clearance too low, bend radius too small",27.5
543_17_142,543,17,142,8194.0,7732.45,77.17,5.36,0.56,49.08,-inf,False,seabed clearance too low,11.2
422_6_182,422,6,182,3618.0,3491.4,,,,,-inf,False,timeout,
711_15_22,711,15,22,4710.0,4176.75,,,,,-inf,False,timeout,
568_13_58,568,13,58,5941.0,5571.8,32.42,3.81,40.42,26.34,-247.74,True,,11.2
528_17_178,528,17,178,8449.0,8000.2,,,,,-inf,False,timeout,
610_5_35,610,5,35,2075.0,1922.5,,,,,-inf,False,timeout,
306_6_95,306,6,95,4314.0,4222.2,52.01,3.45,12.1,56.08,-inf,False,"seabed clearance too low, bend radius too small",10.2
736_14_35,736,14,35,4046.0,3530.8,,,,,-inf,False,timeout,
359_9_183,359,9,183,5994.0,5832.45,,,,,-inf,False,timeout,
678_2_168,678,2,168,694.0,626.2,,,,,-inf,False,timeout,
645_2_53,645,2,53,760.0,695.5,,,,,-inf,False,timeout,
